English,Deutsch,Arabic
cleaned,gereinigt,تنظيف
pattern,Muster,نمط
filthy,schmutzig,قذرة
visiting,Besuch,زيارة
jews,Juden,يهود
answering,Antwort,الرد
concentrate,konzentrieren,يركز
someplace,irgendwo,مكان ما
citizens,Bürger,المواطنين
aim,Ziel,هدف
nancy,Nancy,نانسي
affairs,Angelegenheiten,أمور
thick,dick,سميك
sport,Sport,رياضة
basic,Basic,أساسي
electric,elektrisch,كهربائي
pleasant,angenehm,جَذّاب
cliff,Cliff,جرف
nail,Nagel,مسمار
russell,Russell,راسل
environment,Umfeld,بيئة
western,Western,الغربي
average,Durchschnitt,متوسط
ease,Leichtigkeit,يُسَهّل
raped,vergewaltigt,اغتصب
interrupt,unterbrechen,مقاطعة
judy,Judy,جودي
satisfied,befriedigt,راضي
beep,Piep,زمارة
starving,verhungern,متضور جوعًا
documents,Unterlagen,وثائق
anniversary,Jubiläum,عيد
beth,Beth,بيث
election,Wahl,انتخاب
warrior,Krieger,محارب
r,R,ص
forth,weiter,راب
fetch,bringen,أحضر
banks,Banken,البنوك
placed,platziert,وضعت
timing,zeitliche Koordinierung,توقيت
stones,Steine,الحجارة
complex,Komplex,معقد
frozen,gefroren,المجمدة
replace,ersetzen,يستبدل
prayer,Gebet,دعاء
skip,überspringen,يتخطى
angeles,Angeles,أنجلوس
guilt,Schuld,الذنب
tune,Melodie,نغم
woo,umwerben,وو
actions,Aktionen,أجراءات
conscience,Gewissen,الضمير
officially,offiziell,رسمياً
martha,Martha,مارثا
machines,Maschinen,الآلات
smaller,kleiner,الأصغر
determined,bestimmt,عازم
blown,geblasen,منفوخ
hail,Hagel,يشيد
unhappy,unzufrieden,تعيس
booth,Verkaufsstand,كشك
pour,gießen,يصب
berlin,Berlin,برلين
cleared,geräumt,تطهير
packed,gepackt,معباه
wrap,wickeln,طَوّق
randy,geil,راندي
behalf,Namen,نيابةً عن
reasonable,vernünftig,معقول
trunk,Stamm,صُندُوق
homes,Häuser,دور
festival,Festival,مهرجان
tradition,Tradition,التقليد
cigarettes,Zigaretten,السجائر
le,Le,لو
beside,neben,بجانب
harvey,Harvey,هارفي
motive,Motiv,الدافع
beings,Wesen,كائنات
bishop,Bischof,الأسقف
dealer,Händler,تاجر
defendant,Beklagte,المدعى عليه
backup,Backup,دعم
wounds,Wunden,الجروح
ouch,Autsch,أوتش
ann,Ann,آن
nearby,nahe,مجاور
drank,getrunken,شربوا
effects,Auswirkungen,تأثيرات
jonathan,Jonathan,جوناثان
dennis,Dennis,دينيس
benefit,Nutzen,فائدة
adventure,Abenteuer,مفامرة
p,P,ص
territory,Gebiet,إِقلِيم
ve,ve,ve
apology,Entschuldigung,اعتذار
dylan,Dylan,ديلان
unlike,nicht wie,على عكس
owns,besitzt,يمتلك
boxes,Kisten,مربعات
thus,daher,هكذا
clay,Ton,فخار
developed,entwickelt,متطور
busted,erwischt,تم الضبط عليه
pipe,Rohr,يضخ
gray,grau,رمادي
no.,NEIN.,لا.
goods,Waren,بضائع
favourite,Favorit,مفضل
salad,Salat,سلطة
loyal,treu,وفي
atmosphere,Atmosphäre,أَجواء
eva,Eva,إيفا
freaking,verdammt,ينقط
dropping,fallen,إسقاط
strangers,Fremde,الغرباء
mouse,Maus,الفأر
downtown,Innenstadt,وسط البلد
francisco,Francisco,فرانسيسكو
heroes,Helden,الأبطال
pit,Grube,حفرة
rotten,verfault,فاسدة
paradise,Paradies,جَنَّة
meantime,inzwischen,غضون ذلك
jess,Jess,جيس
organization,Organisation,منظمة
hills,Hügel,تلال
exam,Prüfung,امتحان
cock,Schwanz,الديك
fairy,Fee,جنية
earl,Graf,الايرل لقب انكليزي
comment,Kommentar,تعليق
activity,Aktivität,نشاط
frame,rahmen,إطار
knight,Ritter,فارس
testing,testen,اختبارات
habit,Gewohnheit,عادة
shelter,Unterschlupf,مَأوىً
flow,Fluss,تدفق
jennifer,Jennifer,جنيفر
holes,Löcher,ثقوب
prevent,verhindern,يمنع
anthony,Anthony,أنتوني
lend,verleihen,أعار
cooper,Cooper,كوبر
figures,Zahlen,الأرقام
boston,Boston,بوسطن
sample,Probe,عينة
strip,Streifen,يجرد
landed,gelandet,عقاري
buzzing,Summen,صاخبة
monk,Mönch,راهب
slightly,leicht,طفيف
produce,produzieren,ينتج
annoying,nervig,مزعج
judgment,Beurteilung,حكم
laundry,Wäscherei,مغسلة
ron,Ron,رون
lousy,lausig,رديء
souls,Seelen,النفوس
existence,Existenz,وجود
belly,Bauch,بطن
tries,Versuche,يحاول
foster,fördern,عزز
returning,Rückkehr,عودة
answered,antwortete,أجاب
ward,Station,جناح
plants,Pflanzen,النباتات
actress,Darstellerin,ممثلة
chairman,Vorsitzende,رئيس
individual,Individuell,فردي
hopes,Hoffnungen,آمال
tattoo,Tätowierung,وشم
fence,Zaun,سور
sink,Waschbecken,حوض
punk,Punk,فاسق
confident,zuversichtlich,واثق
yay,Yay,ياي
mistaken,falsch,مخطئ
limit,Grenze,حد
bothering,stören,التضايق
st,st,شارع
uncomfortable,unbequem,غير مريح
wednesday,Mittwoch,الأربعاء
gifts,Geschenke,الهدايا
policeman,Polizist,الشرطي
na,n / A,نا
precisely,genau,بدقة
lawyers,Anwälte,المحامون
greek,griechisch,اليونانية
merely,nur,مُجَرّد
criminals,Kriminelle,مجرمون
underwear,Unterwäsche,ثياب داخلية
hoped,gehofft,امنية
earned,verdient,حصل
reveal,aufdecken,يكشف
appeared,erschien,ظهر
derek,Derek,ديريك
heavens,Himmel,السماء
personality,Persönlichkeit,شخصية
batman,Batman,الرجل الوطواط
virginia,Virginia,فرجينيا
wives,Frauen,زوجات
colour,Farbe,لون
worker,Arbeiter,عامل
pope,Papst,بابا الفاتيكان
instructions,Anweisungen,تعليمات
intelligent,intelligent,ذكي
worrying,besorgniserregend,القلق
vince,Vince,فينس
comin,kommen,كومين
cried,hat geweint,بكت
traveling,Reisen,سفر
bells,Glocken,أجراس
x,X,x
impact,Auswirkung,تأثير
robbed,beraubt,سرقت
relief,Erleichterung,اِرتِياح
host,Gastgeber,يستضيف
footage,Filmaufnahme,لقطات
odds,Chancen,احتمال
patrol,patrouillieren,دورية
circus,Zirkus,سيرك
mud,Dreck,طين
captured,gefangen,تم القبض عليه
lessons,Unterricht,الدروس
occasion,Gelegenheit,مناسبات
sets,Sets,مجموعات
pulse,Impuls,نبض
ad,Anzeige,إعلان
invented,erfunden,اخترع
diamonds,Diamanten,الماس
matthew,Matthew,ماثيو
auntie,Tante,العمة
cloud,Wolke,سحاب
francis,Francis,فرانسيس
angels,Engel,الملائكة
hers,ihres,لها
classes,Klassen,الطبقات
mm-hm,MM-HM,مم
signature,Unterschrift,إمضاء
complain,sich beschweren,يشتكي
blah,bla,بلاه
monitor,Monitor,شاشة
options,Optionen,خيارات
claims,Ansprüche,المطالبات
flies,Fliegen,يطير
pat,klopfen,تربيتة
britain,Großbritannien,بريطانيا
hid,versteckt,اختبأ
wailing,Jammern,نحيب
listened,angehört,استمع
countries,Länder,بلدان
vic,Vic,فيك
yell,Schrei,قال بصوت عال
rats,Ratten,الفئران
wondered,fragte sich,وتساءل
smooth,glatt,سلس
resist,widerstehen,يقاوم
companies,Firmen,شركات
fantasy,Fantasie,خيالي
passport,Reisepass,جواز سفر
pitch,Tonhöhe,يقذف
hammer,Hammer,شاكوش
homicide,Tötung,جريمة قتل
casey,Casey,كيسي
holds,hält,يحمل
flew,geflogen,طار
jacob,Jacob,يعقوب
noon,Mittag,وقت الظهيرة
helicopter,Hubschrauber,هليكوبتر
dishes,Teller,أطباق
spin,drehen,يلف
charm,Charme,سحر
slap,schlagen,يصفع
apply,anwenden,يتقدم
fools,Narren,الحمقى
screeching,Kreischen,الصراخ
discover,entdecken,يكتشف
previous,vorherige,سابق
kit,Kit,عدة
authorities,Behörden,سلطات
moaning,Stöhnen,يئن
photograph,Foto,تصوير
sales,Verkauf,مبيعات
fifty,fünfzig,خمسون
mickey,Mickey,سخرية
beneath,unter,أسفل
farewell,Lebewohl,وداع
clouds,Wolken,سحاب
slipped,ausgerutscht,انزلق
represent,vertreten,يمثل
deaf,taub,أصم
facing,Gesichtsansicht,مواجهة
offense,Delikt,جريمة
citizen,Bürger,مواطن
clown,Clown,بهلوان
snap,Schnappnahme,فرقعة
messing,durcheinander bringen,العبث
hood,Haube,كَبُّوت
twelve,zwölf,اثني عشر
interests,Interessen,الإهتمامات
cheated,betrogen,خدع
liz,Liz,ليز
informed,informiert,أُبلغ
humanity,Menschheit,إنسانية
producer,Hersteller,منتج
technically,technisch,من الناحية الفنية
accounts,Konten,حسابات
extreme,extrem,أقصى
gettin,Getin,gettin
cia,CIA,وكالة المخابرات المركزية
ii,ii,الثاني
pays,bezahlt,يدفع
profile,Profil,حساب تعريفي
oxygen,Sauerstoff,الأكسجين
jeez,Herrgott,جيز
gene,Gen,الجين
shed,Baracke,يصلط
minor,unerheblich,صغير
ex,ex,السابق
theatre,Theater,مسرح
scientific,wissenschaftlich,علمي
lovers,Liebhaber,عشاق
chaos,Chaos,فوضى
l.a.,L.A.,ل.
rocket,Rakete,صاروخ
math,Mathematik,الرياضيات
stubborn,hartnäckig,عنيد
august,August,أغسطس
oi,oi,أوي
chips,Chips,رقائق
intense,intensiv,شديد
grey,grau,رمادي
talkin,reden,تحدث
terrorist,Terrorist,إرهابي
angle,Winkel,زاوية
invitation,Einladung,دعوة
gus,Gus,جوس
gambling,Glücksspiel,المقامرة
respond,antworten,يرد
thirty,dreißig,ثلاثون
procedure,Verfahren,إجراء
absolute,absolut,مطلق
investigate,untersuchen,يفتش
tragedy,Tragödie,مأساة
stable,stabil,مستقر
session,Sitzung,حصة
capture,ergreifen,يأسر
marrying,heiraten,الزواج
ripped,zerrissen,ممزق
attacks,Anschläge,الهجمات
stretch,strecken,تمتد
bush,Busch,شجيرة
dates,Termine,بلح
unable,unfähig,غير قادر
gates,Tore,بوابات
mars,Mars,المريخ
artists,Künstler,الفنانين
increase,Zunahme,يزيد
tastes,schmeckt,الأذواق
cared,gepflegt,اهتم
bottles,Flaschen,زجاجات
highest,höchste,أعلى
whirring,wrüchend,Whirring
meanwhile,in der Zwischenzeit,في أثناء
nate,Nate,نيت
grabbed,gepackt,اقتطف
pigs,Schweine,الخنازير
chop,hacken,يقطع
olivia,Olivia,أوليفيا
wheels,Räder,عجلات
shocked,schockiert,صدمت
reverend,Reverend,القس
commercial,Werbung,تجاري
escort,begleiten,مرافقة
engagement,Engagement,ارتباط
corpse,Leichnam,جثة
louise,Louise,لويز
worthy,würdig,ذو قيمة
scale,Skala,حجم
beats,Beats,يدق
williams,Williams,وليامز
threatening,bedrohlich,تهديد
exists,existiert,موجود
academy,Akademie,الأكاديمية
acts,Akte,أعمال
hop,hüpfen,قفزة
judges,Richter,القضاة
furniture,Möbel,أثاث
shared,geteilt,مشترك
ralph,Ralph,رالف
consequences,Folgen,عواقب
engineer,Ingenieur,مهندس
schools,Schulen,المدارس
softly,leise,بهدوء
bombs,Bomben,القنابل
caroline,Caroline,كارولين
shark,Hai,سمك القرش
transport,Transport,ينقل
population,Bevölkerung,سكان
succeed,erfolgreich,ينجح
creepy,unheimlich,مريب
sneak,schleichen,التسلل
studies,Studien,دراسات
destruction,Zerstörung,دمار
keith,Keith,كيث
protected,geschützt,محمي
monsters,Monster,الوحوش
joining,sich anschließen,انضمام
punished,bestraft,معاقبة
lightning,Blitz,برق
malcolm,Malcolm,مالكولم
shell,Hülse,صدَفَة
fascinating,faszinierend,مبهر
chamber,Kammer,غرفة
ethan,Ethan,إيثان
romance,Romantik,رومانسي
instance,Beispiel,مثال
jumping,Springen,القفز
groups,Gruppen,مجموعات
exhausted,erschöpft,مرهق
testify,bezeugen,شهد
studied,studiert,درس
walker,Gehhilfe,ووكر
pin,Stift,دبوس
imagined,vorgestellt,متخيل
drill,bohren,تدريبات
investigating,Untersuchung,التحقيق
ye,Ihr,أيها
experienced,erfahren,ذوي الخبرة
elena,Elena,إيلينا
necklace,Halskette,قلادة
loyalty,Loyalität,وفاء
junk,Junk,نفاية
cole,Cole,كول
cries,Schreie,يبكي
stanley,Stanley,ستانلي
rita,Rita,ريتا
southern,Süd-,الجنوب
blocks,Blöcke,كتل
emotions,Gefühle,العواطف
begun,begonnen,بدأ
maya,Maya,مايا
liver,Leber,الكبد
serving,Portion,خدمة
matches,Streichhölzer,اعواد الكبريت
surgeon,der Chirurg,دكتور جراح
granted,gewährt,ممنوح
jazz,Jazz,موسيقى الجاز
july,Juli,يوليو
supplies,Lieferungen,لوازم
deeper,Tiefer,أعمق
typical,typisch,عادي
kicking,treten,الركل
obey,gehorchen,يطيع
dancer,Tänzer,راقصة
remote,Fernbedienung,بعيد
daughters,Töchter,بنات
moron,idiot,المغفل
latin,Latein,اللاتينية
teachers,Lehrer,معلمون
toby,Toby,توبي
sandy,sandig,ساندي
dragged,gezogen,جر
strategy,Strategie,إستراتيجية
parent,Elternteil,الأبوين
jin,Jin,جين
album,Album,الألبوم
compared,verglichen,مقارنة
rubbish,Müll,القمامة
helpful,hilfreich,متعاون
powder,Pulver,مسحوق
sync,Synchronisation,المزامنة
bum,miserabel,متشرد
passes,geht vorbei,يمر، يمرر، اجتاز بنجاح
joan,Joan,جوان
fort,Fort,الحصن
choices,Auswahl,اختيارات
alley,Gasse,زقاق
supper,Abendessen,عشاء
penis,Penis,قضيب
alibi,Alibi,عذر
sammy,Sammy,سامي
pole,Pole,عمود
coke,Koks,فحم الكوك
scientist,Wissenschaftler,عالم
fighter,Kämpfer,مقاتل
highway,Autobahn,الطريق السريع
blade,Klinge,شفرة
alpha,Alpha,ألفا
diet,Diät,نظام عذائي
liquor,Alkohol,الخمور
jet,Jet,طائرة نفاثة
widow,Witwe,أرملة
liberty,Freiheit,حرية
philip,Philip,فيليب
moral,Moral,أخلاقي
carrie,Carrie,كاري
award,vergeben,جائزة
grief,Kummer,حزن
thirsty,durstig,متعطش
ashley,Ashley,آشلي
random,willkürlich,عشوائي
suspects,Verdächtige,المشتبه بهم
intention,Absicht,نيّة
julian,julianisch,جوليان
active,aktiv,نشيط
tools,Werkzeug,أدوات
driven,Gefahren,تحركها
trauma,Trauma,صدمة
headache,Kopfschmerzen,صداع
safely,sicher,بأمان
alexander,Alexander,ألكساندر
knee,Knie,ركبة
lads,Jungs,الفتيان
novel,Roman,رواية
conversations,Gespräche,المحادثات
waters,Wasser,مياه
lookin,Blick in,إنظر في
invisible,unsichtbar,غير مرئى
internal,intern,داخلي
peaceful,friedlich,امن
humming,summen,طنين
washed,gewaschen,غسل
drives,fährt,محركات الأقراص
talented,talentiert,موهوب
li,li,لي
aid,Hilfe,يساعد
elephant,Elefant,الفيل
troubles,Probleme,مشاكل
core,Kern,جوهر
serial,Serie,مسلسل
s-,S-,س-
painted,gestrichen,رسم
the,Die,ال
divine,göttlich,إلهي
jam,Marmelade,مربى
goat,Ziege,معزة
opera,Oper,الأوبرا
thieves,Diebe,لصوص
guessing,Raten,التخمين
objection,Einspruch,اعتراض
whiskey,Whiskey,ويسكي
florida,Florida,فلوريدا
resistance,Widerstand,مقاومة
dressing,Dressing,خلع الملابس
attached,beigefügt,مُرفَق
aaron,Aaron,هارون
brief,knapp,مختصر
punish,bestrafen,يعاقب
eternal,ewig,أبدي
lois,Lois,لويس
and,Und,و
required,erforderlich,مطلوب
victoria,Victoria,فيكتوريا
fabulous,fabelhaft,خلاب
twins,Zwillinge,توأمان
characters,Figuren,الشخصيات
cooked,gekocht,مطبوخ
ln,ln,ln
ruth,Ruth,روث
dreamed,geträumt,حلمت
arts,Künste,الفنون
naughty,frech,شقي
stabbed,niedergestochen,طعن
tend,neigen,ينزع
diane,Diane,ديان
tap,klopfen,مقبض
soap,Seife,صابون
locker,Schließfach,خزانة
development,Entwicklung,تطوير
images,Bilder,الصور
prick,stechen,وخز
global,global,عالمي
string,Saite,خيط
bitter,bitter,مر
sharing,Teilen,مشاركة
corn,Mais,حبوب ذرة
craig,Craig,كريج
fits,Anpassungen,تناسبها
tent,Zelt,خيمة
forms,Formen,نماذج
votes,Stimmen,أصوات
harold,Harold,هارولد
propose,vorschlagen,اقترح
monica,Monica,مونيكا
constantly,ständig,باستمرار
granny,Oma,الجدة
nicely,schön,بشكل جميل
nerves,Nerven,الأعصاب
arguing,streiten,الجدال
abuse,Missbrauch,إساءة
relatives,Verwandte,الأقارب
survival,Überleben,نجاة
gloves,Handschuhe,قفازات
tracking,Verfolgung,التتبع
zoe,Zoe,زوي
u,u,ش
bend,biegen,يلوي
review,Rezension,مراجعة
connect,verbinden,يتصل
separated,getrennt,منفصل
elder,ältere,المسنين
beard,Bart,لحية
admiral,Admiral,أميرال
diana,Diana,ديانا
salary,Gehalt,مرتب
areas,Bereiche,المناطق
disturb,stören,يزعج
pro,Profi,طليعة
maintain,pflegen,يحافظ على
solved,gelöst,تم حلها
wealth,Vermögen,ثروة
bitches,Hündinnen,الكلبات
possession,Besitz,تملُّك
sang,sang,غنى
gimme,Gib mir,GIMME
plates,Platten,لوحات
shoulders,Schultern,الكتفين
burnt,verbrannt,أحرق
recorded,verzeichnet,مسجل
upper,"Oberer, höher",العلوي
counts,zählt,العد
tale,Geschichte,حكاية
profit,profitieren,ربح
colleague,Kollege,زميل
warehouse,Lagerhaus,مستودع
hostage,Geisel,كرهينة
shore,Ufer,شاطئ
porn,Porno,إباحية
miami,Miami,ميامي
fifteen,fünfzehn,خمسة عشر
visitors,Besucher,الزائرين
bo,bo,بو
net,Netz,شبكة
insult,Beleidigung,يسُبّ
owen,Owen,أوين
cities,Städte,مدن
causing,Ursache,مما تسبب في
lemon,Zitrone,ليمون
heal,heilen,يشفي
banging,Knall,ضجيج
honeymoon,Flitterwochen,شهر العسل
appeal,appellieren,جاذبية
marshall,Marshall,مارشال
critical,kritisch,شديد الأهمية
creating,Erstellen,خلق
scotland,Schottland,اسكتلندا
crane,Kran,رافعة
enormous,enorm,ضخم
testimony,Zeugnis,شهادة
praise,loben,مدح
fights,Kämpfe,معارك
indians,Inder,الهنود
commission,Kommission,عمولة
growls,knurrt,هدير
nicole,Nicole,نيكول
sins,Sünden,خطايا
fraud,Betrug,احتيال
branch,Zweig,فرع
happily,glücklich,بسعادة
bout,Kampf,نوبة
covering,Abdeckung,تغطية
occurred,geschah,حصل
beans,Bohnen,فول
raw,roh,خام
muscle,Muskel,عضلة
pages,Seiten,الصفحات
tense,Zeitform,متوتر
relationships,Beziehungen,العلاقات
management,Management,إدارة
assignment,Abtretung,تكليف
blonde,blond,شقراء
catching,fangen,الصيد
exposed,ausgesetzt,مُعرض ل
canada,Kanada,كندا
dont,nicht,لا
han,Han,هان
von,Von,فون
comedy,Komödie,كوميديا
marco,Marco,ماركو
stroke,Schlaganfall,سكتة دماغية
whistling,Pfeifen,صفير
buildings,Gebäude,البنايات
shaking,zittern,تهتز
p.m.,p.m.,مساءً.
facility,Einrichtung,منشأة
appropriate,geeignet,ملائم
remarkable,bemerkenswert,مميز
transferred,übertragen,نقل
drawn,gezeichnet,مسحوب
tits,Titten,الثدي
clicking,Klicken,النقر
symbol,Symbol,رمز
motor,Motor,محرك
employees,Mitarbeiter,موظفين
ambassador,Botschafter,سفير
mothers,Mütter,الأمهات
pile,Haufen,كومة
feeding,Fütterung,تغذية
soda,Limonade,مشروب غازي
checks,Überprüfungen,الفحوصات
bears,Bären,تتحمل
cookies,Kekse,بسكويت
slut,Schlampe,وقحة
awfully,furchtbar,بفظاعة
stepped,getreten,صعد
toys,Spielzeuge,ألعاب الأطفال
levels,Ebenen,مستويات
differently,anders,بشكل مختلف
magnificent,herrlich,عظيم
steak,Steak,شريحة لحم
tube,Rohr,أنبوب
leaders,Führer,القادة
superior,Vorgesetzter,أرقى
herr,Herr,هير
pan,Pfanne,مِقلاة
expression,Ausdruck,تعبير
currently,momentan,حالياً
throne,Thron,عرش
deadly,tötlich,مميت
bee,Biene,نحلة
tooth,Zahn,سن
depressed,deprimiert,محبَط
potatoes,Kartoffeln,بطاطا
wicked,böse,شرير
resources,Ressourcen,موارد
native,einheimisch,محلي
centuries,Jahrhunderte,قرون
karl,Karl,كارل
poetry,Poesie,شِعر
multiple,mehrere,عديد
cable,Kabel,كابل
shortly,in Kürze,قريبا
buzz,summen,شرب حتى الثمالة
socks,Socken,جوارب
fingerprints,Fingerabdrücke,بصمات الأصابع
goddess,Göttin,إلهة
chin,kinn,ذقن
anxious,ängstlich,قلق
september,September,سبتمبر
colors,Farben,الألوان
basketball,Basketball,كرة سلة
promises,Versprechen,وعود
explained,erklärt,شرح
appearance,Aussehen,مظهر
musical,Musical,موسيقي
sends,sendet,يرسل
slide,gleiten,الانزلاق
aii,AII,AII
shawn,Shawn,شون
ultimate,ultimativ,ذروة
pork,Schweinefleisch,لحم خنزير
communication,Kommunikation,تواصل
payment,Zahlung,قسط
structure,Struktur,بناء
paperwork,Papierkram,ورقة العمل
obsessed,besessen,مهووس
lazy,faul,كسول
russians,Russen,الروس
actors,Schauspieler,ممثلين
squeeze,quetschen,يعصر
magical,magisch,سحري
colleagues,Kollegen,زملاء
admire,bewundern,يُعجَب ب
madness,Wahnsinn,جنون
roads,Straßen,الطرق
entry,Eintrag,دخول
injury,Verletzung,إصابة
burden,Last,حرج
racing,Rennen,سباق
manner,Benehmen,طريقة
freezing,Einfrieren,التجميد
bits,Bits,أجزاء
norman,normannisch,نورمان
mount,montieren,تتعدد
battery,Batterie,بطارية
dessert,Nachtisch,حَلوَى
pound,Pfund,جنيه
visited,hat besucht,زار
motel,Motel,فندق صغير
rumbling,Grollen,قرقرة
cinema,Kino,سينما
fond,lieb,مولع
halfway,auf halber Strecke,في منتصف الطريق
rifle,Gewehr,بندقية
reception,Rezeption,استقبال
statue,Statue,تمثال
fridge,Kühlschrank,ثلاجة
brick,Ziegel,قالب طوب
abandon,aufgeben,يتخلى عن
lap,Schoß,حجر
natalie,Natalie,ناتالي
wars,Kriege,الحروب
recommend,empfehlen,يوصي
brush,Bürste,فرشاة
nelson,Nelson,نيلسون
pill,Pille,حبة
concept,Konzept,مفهوم
w,w,ث
delay,Verzögerung,تأخير
quarters,Viertel,أرباع
korea,Korea,كوريا
janet,Janet,جانيت
rub,reiben,فرك
mall,Einkaufszentrum,مجمع تجاري
soil,Boden,تربة
complaint,Beschwerde,شكوى
sail,Segel,ريشة
baker,Bäcker,خباز
coughs,Husten,السعال
bucket,Eimer,دلو
description,Beschreibung,وصف
badge,Abzeichen,شارة
measure,messen,يقيس
hip,Hüfte,خاصرة
function,Funktion,وظيفة
indistinctly,undeutlich,بشكل غير واضح
harris,Harris,هاريس
foundation,Stiftung,مؤسسة
labor,Arbeit,تَعَب
willie,Willie,ويلي
waiter,Kellner,النادل
homeless,obdachlos,بلا مأوى
proved,bewiesen,اثبت
unfortunate,unglücklich,من المؤسف
log,Protokoll,سجل
meetings,Treffen,الاجتماعات
giggles,kichert,الضحك
combat,Kampf,قتال
poem,Gedicht,قصيدة
polish,Polieren,تلميع
handed,übergeben,سلّم
mia,Mia,ميا
weed,Unkraut,حشيش
raymond,Raymond,ريموند
tons,Tonnen,طن
satellite,Satellit,الأقمار الصناعية
jersey,Jersey,جيرسي
eagle,Adler,نسر
privacy,Privatsphäre,خصوصية
chapter,Kapitel,الفصل
treating,Behandlung,علاج
wisdom,Weisheit,حكمة
flip,Flip,يواجه
entering,Eintritt,الدخول
barn,Scheune,إسطبل
farmer,Bauer,مزارع
clan,Clan,عشيرة - قبيلة
budget,Budget,ميزانية
pub,Pub,حانة
temporary,vorübergehend,مؤقت
effective,Wirksam,فعال
sonny,Sonny,سوني
wendy,Wendy,ويندي
juan,Juan,خوان
lamb,Lamm,حمَل
plot,Parzelle,حبكة
riley,Riley,رايلي
proposal,Vorschlag,عرض
sticks,Stöcke,العصي
searched,gesucht,بحث
blessing,Segen,بركة
rage,Wut,غضب
bothered,belästigt,أزعجت
sydney,Sydney,سيدني
basis,Basis,أساس
manners,Sitten und Bräuche,أخلاق
recover,genesen,استعادة
twist,Twist,إلتواء
neil,Neil,نيل
leak,Leck,تسريب
item,Artikel,غرض
catholic,katholisch,كاثوليكي
sighing,Seufzen,تنهد
retired,im Ruhestand,متقاعد
kings,Könige,الملوك
inner,innere,داخلي
cents,Cent,سنتات
affect,beeinträchtigen,يؤثر
forbidden,verboten,مُحرَّم
patch,Patch,رقعة
drops,Tropfen,قطرات
necessarily,Notwendig,بالضرورة
provided,bereitgestellt,متاح
meters,Meter,متر
booked,gebucht,حجز
returns,kehrt zurück,عائدات
gloria,Gloria,غلوريا
fires,Feuer,حرائق
humor,Humor,مزاح
torn,zerrissen,ممزق
e-mail,Email,بريد إلكتروني
rocky,felsig,صخري
introduced,eingeführt,قدَّم
creative,kreativ,مبدع
betray,verraten,خيانة
soviet,Sowjet,السوفيتية
various,verschieden,متنوع
added,hinzugefügt,وأضاف
discovery,Entdeckung,اكتشاف
cowboy,Cowboy,رعاة البقر
suspected,vermutlich,يشتبه
suggested,empfohlen,مقترح
delighted,erfreut,مسرور
sticking,kleben,الالتصاق
dive,tauchen,يغوص
shane,Shane,شين
radar,Radar,رادار
prosecutor,Staatsanwalt,المدعي العام
amber,Bernstein,العنبر
vast,groß,واسع
quinn,Quinn,كوين
owned,im Besitz,مملوكة
cookie,Plätzchen,بسكويت
finest,feinst,أفضل
felix,Felix,فيليكس
pump,Pumpe,مضخة
valentine,Valentinstag,عيد الحب
counter,Schalter,عداد
sorts,Sorts,نوعا
coin,Münze,عملة
warren,Labyrinth,وارن
slaves,Sklaven,عبيد
marine,Marine,البحرية
illness,Erkrankung,مرض
sack,Sack,كيس
bid,Gebot,مُنَاقَصَة
require,erfordern,يتطلب
moscow,Moskau,موسكو
largest,größten,أكبر
washing,Waschen,غسل
achieve,erreichen,يحقق
causes,Ursachen,أسباب
k,k,ك
mo,MO,شهر
dope,Aufputschmittel,منشط
nest,Nest,عش
palm,Palme,نخل
logan,Logan,لوجان
constant,Konstante,ثابت
b.,B.,ب.
boo,Boo,بوو
medication,Medikament,دواء
gravity,Schwere,جاذبية
booze,Schnaps,خمر
noah,Noah,نوح
evan,Evan,إيفان
abroad,im Ausland,في الخارج
christine,Christine,كريستين
rising,steigend,ارتفاع
analysis,Analyse,تحليل
cuts,Schnitte,تخفيضات
eats,isst,يأكل
employee,Mitarbeiter,موظف
vodka,Wodka,فودكا
damaged,beschädigt,تالف
solar,Solar-,شمسي
height,Höhe,ارتفاع
pops,Pops,الملوثات العضوية الثابتة
yards,Meter,ساحات
terrified,verängstigt,مذعور
suitcase,Koffer,حقيبة سفر
chemical,chemisch,المواد الكيميائية
preparing,Vorbereitung,خطة
advanced,fortschrittlich,متقدم
fund,Fonds,تمويل
wears,trägt,يلبس
chirping,zwitschern,النقيق
web,Netz,الويب
phase,Phase,مرحلة
prom,Abschlussball,حفلة موسيقية
suggesting,vorschlagen,اقتراح
fleet,Flotte,سريع
lame,lahm,عاجِز
irish,irisch,الأيرلندية
editor,Editor,محرر
october,Oktober,اكتوبر
assumed,vermutet,يفترض
whip,Peitsche,سوط
mel,Mel,ميل
region,Region,منطقة
amongst,unter,بين
temper,Temperament,حِدّة
discussion,Diskussion,مناقشة
engines,Motoren,محركات
operate,arbeiten,العمل
sunshine,Sonnenschein,شروق الشمس
acted,gehandelt,تصرف
undercover,Undercover,سري
horror,Grusel,رعب
tested,geprüft,تم اختباره
smash,zerschlagen,تحطيم
contrary,Gegenteil,على العكس
roses,Rosen,ورود
poker,Poker,البوكر
wrapped,eingewickelt,مغطى
korean,Koreanisch,الكورية
graham,Graham,جراهام
mi,mi,مي
fu,fu,فو
ivan,Ivan,إيفان
focused,fokussiert,ركزت
liam,Liam,ليام
tragic,tragisch,مأساوي
carla,Carla,كارلا
